"","name","years","genere","platform"
"1","
			
			50. Fire Emblem: Awakening		","
							April 19, 2012						","
							Role-playing (RPG), Strategy, Adventure						","
							Nintendo 3DS						"
"2","
			
			49. Ultimate Marvel vs. Capcom 3		","
							November 15, 2011						","
							Fighting						","
							PC (Microsoft Windows), PlayStation 3, Xbox 360, PlayStation Vita, PlayStation 4, Xbox One						"
"3","
			
			48. Amnesia: The Dark Descent		","
							September 08, 2010						","
							Puzzle, Adventure, Indie						","
							Linux, PC (Microsoft Windows), Mac, PlayStation 4, Xbox One						"
"4","
			
			47. Tony Hawk's Pro Skater 2		","
							September 20, 2000						","
							Sport						","
							Nintendo 64, PC (Microsoft Windows), PlayStation, Xbox, Mac, Dreamcast, iOS						"
"5","
			
			46. Yakuza: Like a Dragon		","
							January 16, 2020						","
							Role-playing (RPG), Turn-based strategy (TBS), Adventure						","
							PC (Microsoft Windows), PlayStation 4, Xbox One, PlayStation 5, Xbox Series X|S						"
"6","
			
			45. Sid Meier's Civilization V		","
							September 21, 2010						","
							Simulator, Strategy, Turn-based strategy (TBS)						","
							Linux, PC (Microsoft Windows), Mac						"
"7","
			
			44. NieR: Automata		","
							February 23, 2017						","
							Role-playing (RPG), Hack and slash/Beat 'em up						","
							PC (Microsoft Windows), PlayStation 4						"
"8","
			
			43. Papers, Please		","
							August 08, 2013						","
							Point-and-click, Simulator, Indie						","
							Linux, PC (Microsoft Windows), Mac, Android, iOS, PlayStation Vita						"
"9","
			
			42. Left 4 Dead 2		","
							November 17, 2009						","
							Shooter						","
							Linux, PC (Microsoft Windows), Xbox 360, Mac						"
"10","
			
			41. Final Fantasy VI		","
							April 02, 1994						","
							Role-playing (RPG), Adventure						","
							Wii, PlayStation, PlayStation 3, PlayStation Portable, Super Famicom						"
"11","
			
			40. Call of Duty 4: Modern Warfare		","
							November 05, 2007						","
							Shooter, Simulator						","
							Wii, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, Nintendo DS						"
"12","
			
			39. Uncharted 2: Among Thieves		","
							October 13, 2009						","
							Shooter, Platform, Adventure						","
							PlayStation 3						"
"13","
			
			38. Diablo II		","
							June 29, 2000						","
							Role-playing (RPG), Hack and slash/Beat 'em up						","
							PC (Microsoft Windows), Mac						"
"14","
			
			37. Disco Elysium		","
							October 15, 2019						","
							Role-playing (RPG), Turn-based strategy (TBS), Adventure						","
							PC (Microsoft Windows), Mac						"
"15","
			
			36. Celeste		","
							January 25, 2018						","
							Platform, Adventure, Indie						","
							Linux, PC (Microsoft Windows), Mac, PlayStation 4, Xbox One, Nintendo Switch, Google Stadia						"
"16","
			
			35. Super Smash Bros. Ultimate		","
							December 07, 2018						","
							Fighting, Platform						","
							Nintendo Switch						"
"17","
			
			34. Resident Evil 4		","
							October 25, 2005						","
							Shooter						","
							PlayStation 2, PC (Microsoft Windows), Nintendo GameCube						"
"18","
			
			33. Metroid Prime		","
							November 17, 2002						","
							Shooter, Platform, Adventure						","
							Nintendo GameCube						"
"19","
			
			32. Doom		","
							December 10, 1993						","
							Shooter						","
							Linux, PC (Microsoft Windows), Xbox 360, PC DOS, Mac, Super Nintendo Entertainment System, Game Boy Advance, Sega 32X, Sega Saturn, iOS, 3DO Interactive Multiplayer, Super Famicom, Atari Jaguar, PC-98						"
"20","
			
			31. Halo 3		","
							September 25, 2007						","
							Shooter						","
							PC (Microsoft Windows), Xbox 360, Xbox One						"
"21","
			
			30. Sonic the Hedgehog 2		","
							November 21, 1992						","
							Platform, Adventure						","
							Wii, PC (Microsoft Windows), PlayStation 3, Xbox 360, Sega Mega Drive/Genesis, Nintendo 3DS, Wii U						"
"22","
			
			29. The Sims 4		","
							September 02, 2014						","
							Role-playing (RPG), Simulator						","
							PC (Microsoft Windows), Mac, PlayStation 4, Xbox One, PlayStation 5, Xbox Series X|S						"
"23","
			
			28. The Witcher 3: Wild Hunt		","
							May 19, 2015						","
							Role-playing (RPG), Adventure						","
							PC (Microsoft Windows), PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X|S						"
"24","
			
			27. World of Warcraft		","
							November 23, 2004						","
							Role-playing (RPG), Adventure						","
							PC (Microsoft Windows), Mac						"
"25","
			
			26. Stardew Valley		","
							February 26, 2016						","
							Role-playing (RPG), Simulator, Strategy, Indie						","
							Linux, PC (Microsoft Windows), Mac, Android, iOS, PlayStation Vita, PlayStation 4, Xbox One, Nintendo Switch						"
"26","
			
			25. Metal Gear Solid 3: Snake Eater		","
							November 17, 2004						","
							Shooter, Tactical, Adventure						","
							PlayStation 2						"
